,Occupation title (click on the occupation title to view its profile)
736,"Office Machine Operators, Except Computer"
737,Proofreaders and Copy Markers
738,Statistical Assistants
739,"Office and Administrative Support Workers, All Other"
740,"Farming, Fishing, and Forestry Occupations"
741,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
742,Agricultural Workers
743,Agricultural Inspectors
744,Animal Breeders
745,"Graders and Sorters, Agricultural Products"
746,Miscellaneous Agricultural Workers
747,Agricultural Equipment Operators
748,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
749,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
750,"Agricultural Workers, All Other"
751,"Forest, Conservation, and Logging Workers"
752,Forest and Conservation Workers
753,Logging Workers
754,Fallers
755,Logging Equipment Operators
756,Log Graders and Scalers
757,"Logging Workers, All Other"
758,Construction and Extraction Occupations
759,First-Line Supervisors of Construction Trades and Extraction Workers
760,Construction Trades Workers
761,Boilermakers
762,"Brickmasons, Blockmasons, and Stonemasons"
763,Brickmasons and Blockmasons
764,Stonemasons
765,Carpenters
766,"Carpet, Floor, and Tile Installers and Finishers"
767,Carpet Installers
768,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
769,Floor Sanders and Finishers
770,Tile and Stone Setters
771,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
772,Cement Masons and Concrete Finishers
773,Terrazzo Workers and Finishers
774,Construction Laborers
775,Construction Equipment Operators
776,"Paving, Surfacing, and Tamping Equipment Operators"
777,Pile Driver Operators
778,Operating Engineers and Other Construction Equipment Operators
779,"Drywall Installers, Ceiling Tile Installers, and Tapers"
780,Drywall and Ceiling Tile Installers
781,Tapers
782,Electricians
783,Glaziers
784,Insulation Workers
785,"Insulation Workers, Floor, Ceiling, and Wall"
786,"Insulation Workers, Mechanical"
787,Painters and Paperhangers
788,"Painters, Construction and Maintenance"
789,Paperhangers
790,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
791,Pipelayers
792,"Plumbers, Pipefitters, and Steamfitters"
793,Plasterers and Stucco Masons
794,Reinforcing Iron and Rebar Workers
795,Roofers
796,Sheet Metal Workers
797,Structural Iron and Steel Workers
798,Solar Photovoltaic Installers
799,"Helpers, Construction Trades"
800,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
801,Helpers--Carpenters
802,Helpers--Electricians
803,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
804,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
805,Helpers--Roofers
806,"Helpers, Construction Trades, All Other"
807,Other Construction and Related Workers
808,Construction and Building Inspectors
809,Elevator and Escalator Installers and Repairers
810,Fence Erectors
811,Hazardous Materials Removal Workers
812,Highway Maintenance Workers
813,Rail-Track Laying and Maintenance Equipment Operators
814,Septic Tank Servicers and Sewer Pipe Cleaners
815,Miscellaneous Construction and Related Workers
816,Extraction Workers
817,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas"
818,"Derrick Operators, Oil and Gas"
819,"Rotary Drill Operators, Oil and Gas"
820,"Service Unit Operators, Oil and Gas"
821,Surface Mining Machine Operators and Earth Drillers
822,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
823,"Earth Drillers, Except Oil and Gas"
824,"Explosives Workers, Ordnance Handling Experts, and Blasters"
825,Underground Mining Machine Operators
826,Continuous Mining Machine Operators
827,"Roof Bolters, Mining"
828,"Loading and Moving Machine Operators, Underground Mining"
829,"Underground Mining Machine Operators, All Other"
830,"Rock Splitters, Quarry"
831,"Roustabouts, Oil and Gas"
832,Helpers--Extraction Workers
833,"Extraction Workers, All Other"
834,"Installation, Maintenance, and Repair Occupations"
